basic: 基礎
terminology: 術語
terminal: 終端
terminate: 終止、終結
distinction: 區別、區分
assume: 假設、認為
reader: 讀者、閱讀器
familiar: 熟悉的、親切的
family: 家族、系列
least: 最少、至少
static: 靜態的、不變的
designing: 設計、設計過程
policy: 政策、規則
decide: 決定、決策
concentrate: 集中、專注
regin: 區域、範圍
determine: 確定、決定
overwise: 過度地、過分地
applies: 應用、適用
held: 握住、舉行
omitted: 被省略的、被忽略的
occurring: 發生
affect: 影響
element: 元素
denoted: 表示
instance: 實例
depending: 取決於
association: 聯繫
according to: 根據
fragment: 片段
reserved: 保留的
adjust: 調整
whenever: 無論何時
presumably: 大概、可能
precede: 在...之前、先於
versus: 對比、對抗
binding: 綁定、約束
throughout: 在整個過程中、貫穿
one and for all: 永久地、徹底地
impossible: 不可能的、無法實現的
definition: 定義、解釋
distinguish: 區分、辨別
denote: 表示、指示
letter: 字母、信件
entity: 實體、存在
qualify: 資格、限定
qualifier: 限定詞、修飾語
recursive: 遞歸的、循環的
declaration: 聲明、宣告
implicit: 隱含的、暗示的
explicit: 明確的、清楚的
through: 通過、穿過
protected: 受保護的、保護的
delimit: 劃定、界定
approximation: 近似、估計
restrict: 限制、約束
avoid: 避免、防止
discussing: 討論、商討
similar: 相似的、類似的
special: 特殊的、專門的
signify: 表示、意味著
behave: 行為、舉止
associate: 聯繫、關聯
regarding: 關於、涉及
surround: 圍繞、環繞
note: 注意、筆記
nested: 嵌套的、內含的
referred: 提及、參考
belong: 屬於、歸屬
closely: 緊密地、密切地
express: 表達、表示
smallest: 最小的、最少的
largest: 最大的、最多的
belonging: 屬於、歸屬
subtraction: 減法、減去
minus: 減去、負號
etcetera: 等等、其他
continuously to: 持續地、不斷地
alternatively: 交替地、或者
aid: 幫助、援助
summarize: 總結、概括
immune: 免疫的、免除的
increasing: 增加的、增長的
fortunately: 幸運地、幸好
erroneous: 錯誤的、不正確的
analogy: 類比、類似
extend: 擴展、延伸
angle: 角度、角
encapsulation: 封裝、包裝
restricting: 限制、約束
purposely: 有目的地、故意地
associated: 關聯的、聯繫的
region: 區域、範圍
alternate: 交替、輪流
until: 直到、直至
recently: 最近、近來
situation: 情況、情境
expansion: 擴展、膨脹
apparently: 顯然地、明顯地
