yet have never: 但從沒講過的是
strictly: 嚴格地
speaking: 說
additionally: 除此之外
impact: 影響
areas: 領域
interaction: 互動
expresses: 表達
and can: 並且可以
in principle: 原則上
unfortunately: 不幸的是
worse: 更糟
still: 仍然
worse still: 更糟
portable: 可攜帶的
maintain: 維護
offsetting: 抵消
inefficiency: 低效率
introduced: 引入
register: 註冊
mid: 中
reside: 居住
develop: 開發
no longer: 不再
judge: 判斷
matter: 事情
depends: 取決於
handwriting: 硬連線
resource: 資源
management: 管理
hurt: 傷害
especially: 特別是
shifts: 轉移、變化
direction: 方向
increase: 增加
predominant: 優勢的
popularity: 受歡迎
quickly: 快速地
spurred: 刺激、促進
research: 研究
stimulated: 刺激
simulated: 模擬
advance: 進步
practically: 實際上
aggregate: 聚合、總計
invocation: 調用
access: 訪問
accesses: 訪問
accessible: 可訪問的
accessed: 訪問
developed: 開發的
redundancies: 冗餘
inheritance: 繼承
properties: 屬性
previously: 先前
ensure: 確保
lie: 躺、謊言
bound: 有界的
facility: 設施
factory: 工廠
incur: 招致
reduce: 減少
eliminating: 消除、(= delete)
unnecessary: 不必要的
allocating: 分配
distributed: 分布式
native: 本地的
dynamically: 動態地
dynamic: 動態的
studied: 研究
extracted: 提取
better: 更好
optimize: 優化
led: 導致
insatiable: 無法滿足的
almost: 幾乎
parallelism: 並行性
hierarchies: 階層
instruction: 指令
multiple: 多個
simultaneously: 同時地
response: 響應
limitation: 限制
storage: 存儲
exploit: 利用、解釋
hidden: 隱藏的
dependencies: 依賴關係
sequential: 順序的
machine: 機器
scheduler: 調度器
whether: 是否
reorders: 重新排序
rearrange: 重新排列
issue: 問題、執行、期、(期刊雜誌單位)
scheduling: 調度
multiprocessor: 多處理器
prevalent: 流行的
personal: 個人的
multithreaded: 多線程的
conventional: 傳統的、常規的
hides: 隱藏
finding: 發現
distributing: 分發
synchronization: 同步
among: 在...之間
intensive: 密集的
greatly: 大大地
hierarchy: 階層
closest: 最近的
close: 接近的、關閉的
average: 平均
satisfied: 滿意的
existence: 存在
potential: 潛在的
harnessed: 利用
deliver: 傳遞
hundreds: 數百
kilobytes: 千字節、KB
megabytes: 兆字節、MB
gigabytes: 千兆字節、GB
physical: 實體的
secondary: 次要的
correspondingly: 相應地
adjacent: 相鄰的
emphasis: 強調
probably: 可能
unlike: 不像
managed: 管理的
policies: 政策
implemented: 實施
layout: 佈局
effectiveness: 有效性
norm: 標準
determined: 確定、決定
raw: 原始的
proposed: 提出的
influenced: 影響
prior: 先前的
invention: 發明
progressive: 進步的
parameter: 參數
simpler: 更簡單
concept: 概念
although: 雖然
decade: 十年
propose: 提出
systolic: 收縮的、脈動的
systolic array: 脈動陣列
distribute: 分布
distributed memory: 分布式存儲
accompanied: 陪伴的
corresponding: 相應的
embed: 嵌入
fit: 適合
fit on: 適合於
prepackaged: 預先打包的
commodity: 商品
tailored: 定制的
contrast: 對比
economic: 經濟的
scale: 規模
converge: 匯聚
exhibit: 展示
diversity: 多樣性
compiling: 編譯
companies: 公司
availability: 可用性
domination: 支配
incorporation: 企業、Inc.
executing: 執行
relies: 依賴
backward: 向後的
compatibility: 兼容性
Macintosh: 麥金塔
motorola: 摩托羅拉
legacy: 遺產、初期
mostly: 大多數
circuit: 電路
integrated circuit: 集成電路、積體電路
transfer: 傳輸
combination: 組合
transistor: 晶體管
eventually: 最終
exist: 存在
query: 查詢
structured: 結構化的
predicate: 謂詞
containing: 包含
relational: 關聯的
satisfying: 滿足
discipline: 學科、原則
phenomenon: 現象
validate: 驗證
expensive: 昂貴的
alternative: 替代的
alter: 改變、(= change)
complete: 完成
interpret: 解釋、翻譯
natively: 本地地
state-of-the-art: 最先進的
productivity: 生產力
arguably: 可以說
artifact: 人造
rampant: 猖獗的
render: 使得、渲染
vulnerable: 易受攻擊的
security: 安全
catastrophic: 災難性的
primary: 主要的
interest: 興趣
promising: 有前途的
complementary: 補充的、互補的
statically: 靜態地
exercise: 練習
assist: 協助
violating: 違反
category: 類別
alarms: 警報
detector: 偵測器
report: 報告
guaranteed: 保證
nonetheless: 儘管如此
dereferencing: 解引用
freed: 釋放
significantly: 顯著地
conservative: 保守的
semantics: 語義
circumstance: 情況
vulnerability: 易受攻擊
balance: 平衡
established: 已建立的
inconsistencies: 不一致
signature: 簽名
immediately: 立即
dereference: 解引用
clearly: 明確地
secure: 留住、安全的
supplies: 供應
supply: 供應
careless: 粗心的
proper: 適當的
remain: 保持
flaw: 缺陷
mistake: 錯誤
breach: 破壞、違反
caused: 引起
fail: 失敗
tricked: 欺騙
trick: 欺騙
manipulate: 操縱
misbehave: 行為不當
compromise: 妥協、危害
occurred: 發生
occur: 發生
had: 有、have p.p.
redundant: 冗餘的
adequate: 足夠的
sophisticate: 複雜的
tracking: 跟踪
tradeoff: 折衷
reliability: 可靠性
obliterate: 消除
purify: 淨化
