summary: 總結、概括
generation: 生成、產生、代
model: 模型、模式
automata: 自動機
grammar: 文法、語法
truly: 真正地、確實地
science: 科學
progressively: 漸進地、逐步地
formerly: 以前、從前
as well as: 以及、同樣地
innovation: 創新、革新
extract: 提取、抽取
capability: 能力、性能
effectively: 有效地、實際上
productivity: 生產力、效率
security: 安全、保安
detect: 偵測、檢測
common: 普通的、常見的
discover: 發現、探索
lexical: 詞彙的、詞典的
determine: 決定、確定
contribute: 貢獻、促成
environment: 環境、環境因素
association: 協會、聯合
describe: 描述、敘述
term: 期間、術語
enclose: 包圍、封閉、封入、附上
nested: 嵌套的、內嵌的
nest: 巢穴、嵌套
closure: 關閉、封閉
aliasing: 別名、化名
abstraction: 抽象、抽象化
effectively: 有效地、實際上
possibility: 可能性、潛力
