direct: 直接的、指導、指揮
introduction: 介紹、引進
illustrate: 說明、闡明
translate: 翻譯、轉化
representative: 代表性的、典型的
parsing: 解析、分析
creating: 創建、創造
infix: 插入、內嵌、中綴
prefix: 前綴、前置
suffix: 後綴、後置
postfix: 後置、後綴
appendix: 附錄、附加物
convenient: 方便的、便利的
predate: 早於、先於
private: 私人的、私有的
break up: 分解、拆分
pieces: 片段、部分
organize: 組織、安排
present: 呈現、展示、現在
widely: 廣泛地、普遍地
notation: 符號、標記法
currently: 當前、目前
available: 可用的、可獲得的
informal: 非正式的、隨意的
therefore: 因此、所以
suggestive: 暗示的、啟發性的
beside: 在旁邊、除...之外
guide: 指導、引導
explanation: 解釋、說明
clarification: 澄清、闡明
clarify: 澄清、闡明
rest: 剩餘、休息
quick: 快速的、迅速的
tour: 旅行、巡迴
operator: 運算符、操作符
rich: 豐富的、富有的
enough: 足夠的、充分的
yet: 然而、但是
individual: 個體、個別的、獨立的
understandable: 可理解的、易懂的
handle: 處理、應對
multicharacter: 多字符的、多字元的
treated: 處理、對待
units: 單元、單位
during: 在...期間、在...時
blank: 空白、空格
consider: 考慮、認為
intermediate: 中間的、中級的
generation: 生成、產生
illustrated: 說明的、闡明的
abstract: 抽象的、摘要
syntax: 語法、句法
represent: 代表、表現
hierarchical: 分層的、階層的
syntactic: 語法的、句法的
model: 模型、模擬
module: 模塊、單元
parser: 解析器、分析器
further: 進一步的、更多的
combine: 結合、合併
component: 組件、成分
representation: 表現、表述
loop: 循環、迴圈
consists: 包含、由...組成
condition: 條件、狀況
process: 過程、處理
implementation: 實現、執行
common: 普通的、常見的
appearance: 外觀、出現
appear: 出現、顯現
carries: 攜帶、承載
carry: 攜帶、承載
carry out: 執行、實施
conveniently: 方便地、便利地
append: 附加、附錄
introduce: 介紹、引入
short: 短的、簡短的
throughout: 遍及、貫穿
specify: 指定、明確
naturally: 自然地、天生地
array: 數組、陣列、排列
arrow: 箭頭、指示
concatenation: 串聯、連接、並列
parenthesis: 括號、圓括號
parent: 父母、括號
variable: 變量、可變的
denote: 表示、指示
production: 生成、產生
lexical: 詞彙的、詞法的
element: 元素、成分
terminal: 終端的、終結的
nonterminal: 非終端的、非終結的
grammar: 語法、文法
context: 上下文、語境
context-free: 無上下文的、無語境的
furious: 狂怒的、激烈的
construct: 構造、建造
written: 寫的、書面的
sometimes: 有時候、偶爾
referred: 提及、參考
elementary: 基本的、初級的
manner: 方式、方法、風格、態度、舉止、禮節
intuitive: 直觀的、易懂的
intent: 意圖、目的
designation: 指定、名稱
character: 字符、字元
lexically: 詞彙地、詞法地
meaning: 意義、含義
mean: 意味著、意思是
synonymously: 同義地、同義詞地
define: 定義、確定
digit: 數字、數位
sign: 符號、標誌
boldface: 粗體、粗體字
italicize: 斜體、斜體字
italic: 斜體、斜體字
nonitalicized: 非斜體、正常字體
nonboldface: 非粗體、正常字體
empty: 空的、空白的
head: 頭部、首部
according: 根據、依照
derivation: 派生、衍生
derive: 得出、衍生
repeated: 重複的、反覆的
alphabet: 字母表、字母系統
somewhat: 有點、稍微
different: 不同的、有差異的
nuance: 細微差別、細節
comma: 逗號、分隔符
optional: 可選的、非強制的
and so on: 等等、以此類推
possible: 可能的、可行的
analogous: 類似的、相似的
in place: 存在、就位
in place of: 代替、取代
arbitrary: 任意的、隨意的
shortly: 簡短地、立刻
parse: 解析、分析
taking: 取、拿、採取
figuring: 計算、推斷
approaches: 方法、途徑
processes: 過程、處理
