num: 數字、數量
comprising: 包含、由...組成
assemble: 組裝、組合
sees: 看見、認為
extraneous: 無關的、多餘的
spontaneous: 自發的、自然的、本能的
-neous: 形容詞字尾，表示「具有...性質的」
corporate: 公司的、團體的
incorporate: 合併、納入
peek: 偷看、窺視
pinpoint: 精確位置、準確找出
pin: 大頭針、釘住
ahead: 在前面、提前
general: 一般的、普遍的
buffer: 緩衝區、緩衝物
justified: 有正當理由的、合理的
just: 公正的、公平的
ground: 地面、根據
fetching: 吸引人的、迷人的
fetch: 取來、拿來
buffering: 緩衝、緩衝作用
collect: 收集、聚集
skipped: 跳過的
invariant: 不變的、不變量
assertion: 斷言、主張
morpheme: 詞素、語素
unit: 單位、單元
seems: 似乎、看起來
incorporating: 合併、納入
collective: 集體的、集合的
angle bracket: 角括號
tuple: 元組、對偶、一組
braces: 大括號、花括號
brackets: 括號
accumulates: 累積、積聚
recognizing: 認出、識別
punctuation: 標點
routinely: 例行公事地、常規地
satisfy: 滿足、符合
reserve: 保留、預訂、預約
literal: 文字的、字面的
solves: 解決、解答
phases: 階段、階層
efficiently: 有效率地、高效地
initializing: 初始化
maps: 地圖、映射
