-ized: 使...化
a variety of: 各式各樣的、(= various)
ability: 能力
above: 以上
absolute: 絕對的
abstract: 抽象的
accept: 接受
access: 訪問
accessed: 訪問
accesses: 訪問
accessible: 可訪問的
accompanied: 陪伴的
according to: 根據
achieve: 達成、實現
acquire: 獲得
across: 橫過、穿越
act: 表現
activities: 活動
actual: 實際的、真實的
actually: 實際上
addition to: 除此之外
additionally: 除此之外
adequate: 足夠的
adjacent: 相鄰的
adjust: 調整
advance: 進步
advantage: 優勢
affect: 影響
against: 反對、對抗
aggregate: 聚合、總計
aid: 幫助、援助
al-go-ri-thm: 演算法
alarms: 警報
allocate: 分配
allocating: 分配
allocation: 分配、安排
almost: 幾乎
along: 沿著、隨著
alter: 改變、(= change)
alternate: 交替、輪流
alternative: 替代的
alternatively: 交替地、或者
although: 雖然
among: 在...之間
amount: 數量
analogy: 類比、類似
analysis: 分析
analyze: 分析
and can: 並且可以
angle: 角度、角
apparently: 顯然地、明顯地
appear: 出現、顯示
applicable: 適用於
application: 應用
applications: 應用
applied: 應用的
applies: 應用、適用
approach: 方法
appropriate: 適當的、合適的
approximation: 近似、估計
architecture: 建築、建構、工程、架構
areas: 領域
arguably: 可以說
arithmetic: 算術的
arrange: 安排、整理、佈置
array: 陣列
artifact: 人造
asks: 詢問、要求
aspect: 方面
assembly: 組裝
assignment: 作業、指派
assist: 協助
associate: 聯繫、關聯
associated: 關聯的、聯繫的
association: 聯繫
assume: 假設、認為
assure: 確保
at most: 最多
attempt: 嘗試、(= try)
attribute: 屬性、特徵
automatically: 自動地、(= auto)
availability: 可用性
average: 平均
avoid: 避免、防止
back end: 後端
backward: 向後的
balance: 平衡
balancing: 平衡
basic: 基礎
behave: 行為、舉止
behavior: 行為
belong: 屬於、歸屬
belonging: 屬於、歸屬
benefit: 利益、好處、(= advantage)、(= pros)
better: 更好
beyond: 超越、在...之外
binding: 綁定、約束
blank: 空白
both: 兩者皆可
bound: 有界的
breach: 破壞、違反
break: 拆開
brief: 簡短的
built: 建造的、(build - built - built)
callee: 被調用者、被呼叫者
capabilities: 能力
capture: 捕捉
career: 職業、職涯
careful: 小心的
careless: 粗心的
catastrophic: 災難性的
category: 類別
caused: 引起
certain: 特定的
challenging: 挑戰的
chapter: 章節、篇章
characteristic: 特徵
chosen: 選擇的、(choose - chose - chosen)
circuit: 電路
circumstance: 情況
classification: 分類
classified: 分類的
clearly: 明確地
close: 接近的、關閉的
closely: 緊密地、密切地
closest: 最近的
coercions: 控制、強制
collecting: 收集
collection: 收集、集合、版本
combination: 組合
combine: 結合
commodity: 商品
common: 普通的、常見的
commonly: 常見的、普遍的
companies: 公司
compatibility: 兼容性
compilation: 編譯、彙總
compiling: 編譯
complementary: 補充的、互補的
complete: 完成
completely: 完全地
complex: 複雜的
complicated: 複雜的
component: 組件、元件
compromise: 妥協、危害
compute: 計算
concentrate: 集中、專注
concept: 概念
concepts: 概念
conclude: 總結
conform: 符合
consequently: 因此
conservative: 保守的
conserve: 節省
consider: 考慮、視為
considered: 考慮、視為
consist: 組成
consistency: 一致性
consistent: 持續的
consisting: 組成的
consists: 包含
constituent: 成分、組成
constraint: 約束、限制
construct: 建構、構造、建造
consume: 消耗
consumption: 消耗
contain: 包含、容納
containing: 包含
continuously to: 持續地、不斷地
contrast: 對比
convenience: 方便、便利
convention: 習俗、慣例
